CVE_MUNICIPIO,ANIO,PRESUPUESTO,DECIL_ANUAL_PRESUP,DEFORESTACION_HA,DECIL_ANT,DELTA_DECIL,CLASE_5,PRESUPUESTO_L1,DEFORESTACION_L1,DECIL_L1,PRESUPUESTO_L2,DEFORESTACION_L2,DECIL_L2,CLASE_5_pred,CLASE_5_pred_num,DEFORESTACION_PRED
20529.0,2024,1975000.0,3,0.0,5.0,-2.0,bajada_fuerte,1577300.0,0.0,5.0,5496800.0,0.0,5.0,bajada_leve,-1,0.0
20530.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,118000.0,0.0,2.0,439600.0,0.0,1.0,sin_cambio,0,0.0
20531.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,144550.0,0.0,2.0,599200.0,0.0,2.0,sin_cambio,0,0.0
20532.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,185850.0,0.0,2.0,728000.0,0.0,2.0,sin_cambio,0,0.0
20533.0,2024,637500.0,2,0.0,4.0,-2.0,bajada_fuerte,712150.0,0.0,4.0,2556200.0,0.0,4.0,sin_cambio,0,0.0
20534.0,2024,1150000.0,2,0.0,5.0,-3.0,bajada_fuerte,1102950.0,0.0,5.0,3566000.0,0.0,5.0,bajada_leve,-1,0.0
20535.0,2024,1731250.0,3,0.0,5.0,-2.0,bajada_fuerte,1538250.0,0.0,5.0,4993500.0,0.0,5.0,bajada_leve,-1,0.0
20536.0,2024,875000.0,2,0.0,4.0,-2.0,bajada_fuerte,650850.0,0.0,4.0,2204800.0,0.0,4.0,sin_cambio,0,0.0
20537.0,2024,2700000.0,4,0.0,6.0,-2.0,bajada_fuerte,2401150.0,0.0,6.0,7689000.0,0.0,6.0,bajada_leve,-1,0.0
20538.0,2024,400000.0,1,0.0,3.0,-2.0,bajada_fuerte,347200.0,0.0,3.0,1224200.0,0.0,3.0,sin_cambio,0,0.0
20539.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,185850.0,0.0,2.0,737800.0,0.0,2.0,sin_cambio,0,0.0
20540.0,2024,2462500.0,4,0.0,7.0,-3.0,bajada_fuerte,3803950.0,0.0,7.0,8571650.0,0.0,6.0,sin_cambio,0,0.0
20541.0,2024,875000.0,2,0.0,4.0,-2.0,bajada_fuerte,748100.0,0.0,4.0,2447250.0,0.0,4.0,bajada_leve,-1,0.0
20542.0,2024,200000.0,1,0.0,2.0,-1.0,bajada_leve,212350.0,0.0,2.0,801600.0,0.0,2.0,sin_cambio,0,0.0
20543.0,2024,0.0,0,0.0,3.0,-3.0,bajada_fuerte,268650.0,0.0,3.0,933150.0,0.0,2.0,sin_cambio,0,0.0
20544.0,2024,0.0,0,0.0,1.0,-1.0,bajada_leve,59000.0,0.0,1.0,229600.0,0.0,1.0,sin_cambio,0,0.0
20545.0,2024,0.0,0,0.0,5.0,-5.0,bajada_fuerte,1664600.0,0.0,5.0,2473450.0,0.0,4.0,bajada_leve,-1,0.0
20546.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,238950.0,0.0,2.0,942150.0,0.0,2.0,sin_cambio,0,0.0
20547.0,2024,2356250.0,4,0.0,6.0,-2.0,bajada_fuerte,1844550.0,0.0,6.0,6225800.0,0.0,6.0,bajada_leve,-1,0.0
20548.0,2024,6476250.0,6,0.0,6.0,0.0,sin_cambio,2224900.0,0.0,6.0,7424600.0,0.0,6.0,bajada_leve,-1,0.0
20549.0,2024,7787000.0,7,0.0,8.0,-1.0,bajada_leve,6456950.0,0.0,8.0,22762200.0,0.0,8.0,sin_cambio,0,0.0
20550.0,2024,0.0,0,0.0,5.0,-5.0,bajada_fuerte,1773750.0,0.0,5.0,2254350.0,0.0,4.0,bajada_leve,-1,0.0
20551.0,2024,625000.0,1,0.0,6.0,-5.0,bajada_fuerte,2022750.0,0.0,6.0,5503050.0,0.0,5.0,bajada_leve,-1,0.0
20552.0,2024,1400000.0,3,0.0,5.0,-2.0,bajada_fuerte,1085700.0,0.0,5.0,3727200.0,0.0,5.0,bajada_leve,-1,0.0
20553.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,238950.0,0.0,2.0,897050.0,0.0,2.0,sin_cambio,0,0.0
20554.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,165200.0,0.0,2.0,715150.0,0.0,2.0,sin_cambio,0,0.0
20555.0,2024,0.0,0,0.0,1.0,-1.0,bajada_leve,91450.0,0.0,1.0,333200.0,0.0,1.0,sin_cambio,0,0.0
20556.0,2024,800000.0,2,0.0,4.0,-2.0,bajada_fuerte,659800.0,0.0,4.0,2459800.0,0.0,4.0,sin_cambio,0,0.0
20557.0,2024,2000000.0,3,0.0,7.0,-4.0,bajada_fuerte,4864900.0,0.0,7.0,13576906.0,0.0,7.0,sin_cambio,0,0.0
20558.0,2024,1000000.0,2,0.0,4.0,-2.0,bajada_fuerte,799450.0,0.0,4.0,2750000.0,0.0,4.0,bajada_leve,-1,0.0
20559.0,2024,0.0,0,0.0,6.0,-6.0,bajada_fuerte,2984600.0,0.0,6.0,7508500.0,0.0,6.0,sin_cambio,0,0.0
20560.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,221250.0,0.0,2.0,853250.0,0.0,2.0,sin_cambio,0,0.0
20561.0,2024,0.0,0,0.0,1.0,-1.0,bajada_leve,109150.0,0.0,1.0,425950.0,0.0,1.0,sin_cambio,0,0.0
20562.0,2024,1431250.0,3,0.0,5.0,-2.0,bajada_fuerte,1178250.0,0.0,5.0,3943000.0,0.0,5.0,sin_cambio,0,0.0
20563.0,2024,550000.0,1,0.0,4.0,-3.0,bajada_fuerte,598300.0,0.0,4.0,2208200.0,0.0,4.0,sin_cambio,0,0.0
20564.0,2024,2429750.0,4,0.0,5.0,-1.0,bajada_leve,1757100.0,0.0,5.0,6097200.0,0.0,6.0,sin_cambio,0,0.0
20565.0,2024,0.0,0,0.0,9.0,-9.0,bajada_fuerte,17699450.0,0.0,9.0,3810750.0,0.0,5.0,sin_cambio,0,0.0
20566.0,2024,0.0,0,0.0,2.0,-2.0,bajada_fuerte,197650.0,0.0,2.0,728000.0,0.0,2.0,sin_cambio,0,0.0
