CLAVE_PROGRAMA,CVE_MUNICIPIO,2019,2020,2021,2022,2023,2024,2025
0010,7015.0,0.0,402000.0,54000.0,0.0,0.0,0.0,0.0
0010,7016.0,0.0,108000.0,36000.0,0.0,0.0,0.0,0.0
0010,7017.0,0.0,9366000.0,1080000.0,0.0,0.0,0.0,0.0
0010,7018.0,0.0,126000.0,0.0,0.0,0.0,0.0,0.0
0010,7019.0,0.0,2748000.0,426000.0,0.0,0.0,0.0,0.0
0010,7020.0,0.0,1302000.0,192000.0,0.0,0.0,0.0,0.0
0010,7021.0,0.0,240000.0,12000.0,0.0,0.0,0.0,0.0
0010,7022.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0
0010,7023.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0
0010,7025.0,0.0,150000.0,30000.0,0.0,0.0,0.0,0.0
0010,7026.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,7027.0,0.0,1614000.0,342000.0,0.0,0.0,0.0,0.0
0010,7028.0,0.0,534000.0,60000.0,0.0,0.0,0.0,0.0
0010,7029.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0
0010,7030.0,0.0,504000.0,78000.0,0.0,0.0,0.0,0.0
0010,7031.0,0.0,786000.0,204000.0,0.0,0.0,0.0,0.0
0010,7032.0,0.0,942000.0,126000.0,0.0,0.0,0.0,0.0
0010,7033.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0
0010,7034.0,0.0,552000.0,60000.0,0.0,0.0,0.0,0.0
0010,7035.0,0.0,186000.0,48000.0,0.0,0.0,0.0,0.0
0010,7036.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0
0010,7037.0,0.0,240000.0,18000.0,0.0,0.0,0.0,0.0
0010,7038.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,7039.0,0.0,24000.0,84000.0,0.0,0.0,0.0,0.0
0010,7040.0,0.0,438000.0,66000.0,0.0,0.0,0.0,0.0
0010,7041.0,0.0,804000.0,114000.0,0.0,0.0,0.0,0.0
0010,7042.0,0.0,432000.0,192000.0,0.0,0.0,0.0,0.0
0010,7043.0,0.0,714000.0,162000.0,0.0,0.0,0.0,0.0
0010,7044.0,0.0,690000.0,456000.0,0.0,0.0,0.0,0.0
0010,7045.0,0.0,234000.0,78000.0,0.0,0.0,0.0,0.0
0010,7046.0,0.0,2640000.0,234000.0,0.0,0.0,0.0,0.0
0010,7047.0,0.0,876000.0,24000.0,0.0,0.0,0.0,0.0
0010,7048.0,0.0,372000.0,114000.0,0.0,0.0,0.0,0.0
0010,7049.0,0.0,1434000.0,732000.0,0.0,0.0,0.0,0.0
0010,7050.0,0.0,252000.0,60000.0,0.0,0.0,0.0,0.0
0010,7051.0,0.0,462000.0,120000.0,0.0,0.0,0.0,0.0
0010,7052.0,0.0,1398000.0,150000.0,0.0,0.0,0.0,0.0
0010,7053.0,0.0,18000.0,6000.0,0.0,0.0,0.0,0.0
0010,7054.0,0.0,186000.0,42000.0,0.0,0.0,0.0,0.0
0010,7055.0,0.0,48000.0,12000.0,0.0,0.0,0.0,0.0
0010,7057.0,0.0,942000.0,348000.0,0.0,0.0,0.0,0.0
0010,7058.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,7059.0,0.0,2052000.0,534000.0,0.0,0.0,0.0,0.0
0010,7061.0,0.0,2322000.0,294000.0,0.0,0.0,0.0,0.0
0010,7062.0,0.0,36000.0,24000.0,0.0,0.0,0.0,0.0
0010,7063.0,0.0,282000.0,12000.0,0.0,0.0,0.0,0.0
0010,7064.0,0.0,246000.0,6000.0,0.0,0.0,0.0,0.0
0010,7065.0,0.0,1686000.0,276000.0,0.0,0.0,0.0,0.0
0010,7066.0,0.0,132000.0,6000.0,0.0,0.0,0.0,0.0
0010,7067.0,0.0,300000.0,36000.0,0.0,0.0,0.0,0.0
0010,7068.0,0.0,1554000.0,660000.0,0.0,0.0,0.0,0.0
0010,7069.0,0.0,492000.0,144000.0,0.0,0.0,0.0,0.0
0010,7070.0,0.0,162000.0,6000.0,0.0,0.0,0.0,0.0
0010,7071.0,0.0,408000.0,30000.0,0.0,0.0,0.0,0.0
0010,7072.0,0.0,3156000.0,192000.0,0.0,0.0,0.0,0.0
0010,7073.0,0.0,636000.0,150000.0,0.0,0.0,0.0,0.0
0010,7074.0,0.0,672000.0,198000.0,0.0,0.0,0.0,0.0
0010,7075.0,0.0,216000.0,42000.0,0.0,0.0,0.0,0.0
0010,7076.0,0.0,54000.0,18000.0,0.0,0.0,0.0,0.0
0010,7077.0,0.0,168000.0,114000.0,0.0,0.0,0.0,0.0
0010,7078.0,0.0,3348000.0,444000.0,0.0,0.0,0.0,0.0
0010,7079.0,0.0,252000.0,42000.0,0.0,0.0,0.0,0.0
0010,7080.0,0.0,348000.0,138000.0,0.0,0.0,0.0,0.0
0010,7081.0,0.0,300000.0,54000.0,0.0,0.0,0.0,0.0
0010,7082.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,7083.0,0.0,186000.0,36000.0,0.0,0.0,0.0,0.0
0010,7084.0,0.0,372000.0,36000.0,0.0,0.0,0.0,0.0
0010,7085.0,0.0,474000.0,24000.0,0.0,0.0,0.0,0.0
0010,7086.0,0.0,564000.0,186000.0,0.0,0.0,0.0,0.0
0010,7087.0,0.0,102000.0,12000.0,0.0,0.0,0.0,0.0
0010,7088.0,0.0,96000.0,18000.0,0.0,0.0,0.0,0.0
0010,7089.0,0.0,1740000.0,432000.0,0.0,0.0,0.0,0.0
0010,7090.0,0.0,18000.0,6000.0,0.0,0.0,0.0,0.0
0010,7091.0,0.0,1296000.0,240000.0,0.0,0.0,0.0,0.0
0010,7092.0,0.0,96000.0,18000.0,0.0,0.0,0.0,0.0
0010,7093.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0
0010,7094.0,0.0,708000.0,60000.0,0.0,0.0,0.0,0.0
0010,7096.0,0.0,258000.0,174000.0,0.0,0.0,0.0,0.0
0010,7097.0,0.0,11418000.0,1884000.0,0.0,0.0,0.0,0.0
0010,7098.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0
0010,7099.0,0.0,714000.0,78000.0,0.0,0.0,0.0,0.0
0010,7100.0,0.0,342000.0,132000.0,0.0,0.0,0.0,0.0
0010,7101.0,0.0,14556000.0,2220000.0,0.0,0.0,0.0,0.0
0010,7102.0,0.0,240000.0,36000.0,0.0,0.0,0.0,0.0
0010,7103.0,0.0,114000.0,6000.0,0.0,0.0,0.0,0.0
0010,7104.0,0.0,120000.0,18000.0,0.0,0.0,0.0,0.0
0010,7105.0,0.0,252000.0,24000.0,0.0,0.0,0.0,0.0
0010,7106.0,0.0,1542000.0,342000.0,0.0,0.0,0.0,0.0
0010,7107.0,0.0,6102000.0,636000.0,0.0,0.0,0.0,0.0
0010,7108.0,0.0,7806000.0,1470000.0,0.0,0.0,0.0,0.0
0010,7109.0,0.0,2382000.0,648000.0,0.0,0.0,0.0,0.0
0010,7110.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,7111.0,0.0,90000.0,18000.0,0.0,0.0,0.0,0.0
0010,7112.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0
0010,7113.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0
0010,7114.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0
0010,7115.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,7117.0,0.0,354000.0,36000.0,0.0,0.0,0.0,0.0
0010,7118.0,0.0,42000.0,0.0,0.0,0.0,0.0,0.0
0010,7119.0,0.0,642000.0,30000.0,0.0,0.0,0.0,0.0
0010,7122.0,0.0,600000.0,348000.0,0.0,0.0,0.0,0.0
0010,7123.0,0.0,138000.0,18000.0,0.0,0.0,0.0,0.0
0010,7124.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8001.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0
0010,8002.0,0.0,132000.0,6000.0,0.0,0.0,0.0,0.0
0010,8003.0,0.0,66000.0,6000.0,0.0,0.0,0.0,0.0
0010,8004.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8005.0,0.0,24000.0,0.0,0.0,0.0,0.0,0.0
0010,8006.0,0.0,36000.0,12000.0,0.0,0.0,0.0,0.0
0010,8008.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8009.0,0.0,24000.0,6000.0,0.0,0.0,0.0,0.0
0010,8011.0,0.0,162000.0,12000.0,0.0,0.0,0.0,0.0
0010,8012.0,0.0,12000.0,6000.0,0.0,0.0,0.0,0.0
0010,8013.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,8014.0,0.0,36000.0,6000.0,0.0,0.0,0.0,0.0
0010,8015.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8016.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8017.0,0.0,60000.0,24000.0,0.0,0.0,0.0,0.0
0010,8018.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8019.0,0.0,510000.0,84000.0,0.0,0.0,0.0,0.0
0010,8021.0,0.0,306000.0,114000.0,0.0,0.0,0.0,0.0
0010,8022.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8025.0,0.0,12000.0,30000.0,0.0,0.0,0.0,0.0
0010,8026.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8027.0,0.0,24000.0,12000.0,0.0,0.0,0.0,0.0
0010,8029.0,0.0,72000.0,12000.0,0.0,0.0,0.0,0.0
0010,8030.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,8031.0,0.0,42000.0,18000.0,0.0,0.0,0.0,0.0
0010,8032.0,0.0,216000.0,30000.0,0.0,0.0,0.0,0.0
0010,8034.0,0.0,42000.0,0.0,0.0,0.0,0.0,0.0
0010,8036.0,0.0,396000.0,72000.0,0.0,0.0,0.0,0.0
0010,8037.0,0.0,402000.0,102000.0,0.0,0.0,0.0,0.0
0010,8038.0,0.0,36000.0,24000.0,0.0,0.0,0.0,0.0
0010,8040.0,0.0,114000.0,6000.0,0.0,0.0,0.0,0.0
0010,8043.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8044.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8045.0,0.0,72000.0,30000.0,0.0,0.0,0.0,0.0
0010,8046.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8047.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8048.0,0.0,24000.0,6000.0,0.0,0.0,0.0,0.0
0010,8049.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0
0010,8050.0,0.0,30000.0,6000.0,0.0,0.0,0.0,0.0
0010,8051.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8052.0,0.0,12000.0,6000.0,0.0,0.0,0.0,0.0
0010,8054.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0
0010,8055.0,0.0,48000.0,12000.0,0.0,0.0,0.0,0.0
0010,8056.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8057.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0
0010,8058.0,0.0,30000.0,18000.0,0.0,0.0,0.0,0.0
0010,8060.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,8062.0,0.0,162000.0,12000.0,0.0,0.0,0.0,0.0
0010,8063.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8064.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,8066.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,9002.0,0.0,864000.0,240000.0,0.0,0.0,0.0,0.0
0010,9003.0,0.0,1296000.0,732000.0,0.0,0.0,0.0,0.0
0010,9004.0,0.0,240000.0,54000.0,0.0,0.0,0.0,0.0
0010,9005.0,0.0,3006000.0,510000.0,0.0,0.0,0.0,0.0
0010,9006.0,0.0,1092000.0,186000.0,0.0,0.0,0.0,0.0
0010,9007.0,0.0,5100000.0,1218000.0,0.0,0.0,0.0,0.0
0010,9008.0,0.0,600000.0,114000.0,0.0,0.0,0.0,0.0
0010,9009.0,0.0,714000.0,216000.0,0.0,0.0,0.0,0.0
0010,9010.0,0.0,1056000.0,258000.0,0.0,0.0,0.0,0.0
0010,9011.0,0.0,1710000.0,438000.0,0.0,0.0,0.0,0.0
0010,9012.0,0.0,1836000.0,300000.0,0.0,0.0,0.0,0.0
0010,9013.0,0.0,1938000.0,1218000.0,0.0,0.0,0.0,0.0
0010,9014.0,0.0,438000.0,252000.0,0.0,0.0,0.0,0.0
0010,9015.0,0.0,1164000.0,648000.0,0.0,0.0,0.0,0.0
0010,9016.0,0.0,546000.0,246000.0,0.0,0.0,0.0,0.0
0010,9017.0,0.0,930000.0,246000.0,0.0,0.0,0.0,0.0
0010,10001.0,0.0,48000.0,24000.0,0.0,0.0,0.0,0.0
0010,10004.0,0.0,36000.0,78000.0,0.0,0.0,0.0,0.0
0010,10005.0,0.0,1320000.0,276000.0,0.0,0.0,0.0,0.0
0010,10007.0,0.0,366000.0,120000.0,0.0,0.0,0.0,0.0
0010,10008.0,0.0,120000.0,54000.0,0.0,0.0,0.0,0.0
0010,10009.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,10011.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,10012.0,0.0,108000.0,36000.0,0.0,0.0,0.0,0.0
0010,10014.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,10015.0,0.0,6000.0,6000.0,0.0,0.0,0.0,0.0
0010,10016.0,0.0,30000.0,0.0,0.0,0.0,0.0,0.0
0010,10021.0,0.0,42000.0,18000.0,0.0,0.0,0.0,0.0
0010,10022.0,0.0,66000.0,24000.0,0.0,0.0,0.0,0.0
0010,10023.0,0.0,168000.0,108000.0,0.0,0.0,0.0,0.0
0010,10024.0,0.0,0.0,6000.0,0.0,0.0,0.0,0.0
0010,10025.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,10029.0,0.0,30000.0,24000.0,0.0,0.0,0.0,0.0
0010,10032.0,0.0,78000.0,6000.0,0.0,0.0,0.0,0.0
0010,10033.0,0.0,48000.0,36000.0,0.0,0.0,0.0,0.0
0010,10034.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,10035.0,0.0,48000.0,18000.0,0.0,0.0,0.0,0.0
0010,10036.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,10038.0,0.0,72000.0,24000.0,0.0,0.0,0.0,0.0
0010,10039.0,0.0,24000.0,6000.0,0.0,0.0,0.0,0.0
0010,11001.0,0.0,6000.0,18000.0,0.0,0.0,0.0,0.0
0010,11002.0,0.0,186000.0,24000.0,0.0,0.0,0.0,0.0
0010,11003.0,0.0,6000.0,12000.0,0.0,0.0,0.0,0.0
0010,11004.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0
0010,11005.0,0.0,60000.0,0.0,0.0,0.0,0.0,0.0
0010,11007.0,0.0,204000.0,48000.0,0.0,0.0,0.0,0.0
0010,11009.0,0.0,48000.0,0.0,0.0,0.0,0.0,0.0
0010,11010.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,11011.0,0.0,24000.0,24000.0,0.0,0.0,0.0,0.0
0010,11012.0,0.0,24000.0,6000.0,0.0,0.0,0.0,0.0
0010,11013.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
0010,11014.0,0.0,102000.0,54000.0,0.0,0.0,0.0,0.0
0010,11015.0,0.0,108000.0,48000.0,0.0,0.0,0.0,0.0
0010,11017.0,0.0,402000.0,108000.0,0.0,0.0,0.0,0.0
0010,11018.0,0.0,54000.0,0.0,0.0,0.0,0.0,0.0
0010,11019.0,0.0,12000.0,0.0,0.0,0.0,0.0,0.0
0010,11020.0,0.0,1110000.0,258000.0,0.0,0.0,0.0,0.0
0010,11021.0,0.0,54000.0,30000.0,0.0,0.0,0.0,0.0
0010,11023.0,0.0,24000.0,12000.0,0.0,0.0,0.0,0.0
0010,11025.0,0.0,0.0,18000.0,0.0,0.0,0.0,0.0
0010,11026.0,0.0,36000.0,6000.0,0.0,0.0,0.0,0.0
0010,11027.0,0.0,90000.0,36000.0,0.0,0.0,0.0,0.0
0010,11028.0,0.0,138000.0,6000.0,0.0,0.0,0.0,0.0
0010,11030.0,0.0,30000.0,6000.0,0.0,0.0,0.0,0.0
