CVE_MUNICIPIO,ANIO,DEFORESTACION_HA,DEFORESTACION_ANT,Xn,CLAVE_PROGRAMA,PRESUPUESTO,DECIL_PRES,score
1001,2019,0.0,0.0,0.0,S311,102198400.0,7.0,-0.14286578357870827
1001,2020,0.0,0.0,0.0,S311,132523200.0,7.0,0.030096818706583362
1001,2021,0.0,0.0,0.0,S311,134108800.0,8.0,0.18972741744410815
1001,2022,0.0,0.0,0.0,S311,40583760.0,5.0,0.07245907868322825
1001,2023,1.081769,0.0,1.081769,S311,34686750.0,3.0,-0.14625206788836462
1001,2024,17.344076,1.081769,16.262307,S311,0.0,1.0,-0.0990888935548244
1002,2019,0.0,0.0,0.0,S311,9147200.0,7.0,-0.14286578357870827
1002,2020,0.0,0.0,0.0,S311,10414400.0,7.0,0.030096818706583362
1002,2021,0.0,0.0,0.0,S311,10030400.0,7.0,0.0834554236664101
1002,2022,0.0,0.0,0.0,S311,1214640.0,4.0,0.03061456525579377
1002,2023,0.332051,0.0,0.332051,S311,3325000.0,3.0,-0.1469205504730671
1002,2024,0.0,0.332051,-0.332051,S311,0.0,1.0,-0.1255597380261184
1003,2019,0.0,0.747698,-0.747698,S311,5883200.0,6.0,-0.04313933909720876
1003,2020,0.65269,0.0,0.65269,S311,7459200.0,6.0,0.003853628599082956
1003,2021,0.0,0.65269,-0.65269,S311,7163200.0,7.0,0.08279713604703365
1003,2022,3.244192,0.0,3.244192,S311,2441040.0,4.0,0.044996456639314966
1003,2023,0.0,3.244192,-3.244192,S311,2121000.0,3.0,-0.15010929099172088
1003,2024,0.5818,0.0,0.5818,S311,0.0,1.0,-0.12410198909175547
1004,2019,0.0,0.0,0.0,S311,3435200.0,6.0,-0.041409511446204354
1004,2020,0.0,0.0,0.0,S311,4019200.0,6.0,0.0031033420862809622
1004,2021,0.0,0.0,0.0,S311,3868800.0,6.0,0.06540770533401659
1004,2022,0.0,0.0,0.0,S311,262080.0,3.0,0.05631726259133706
1004,2023,0.0,0.0,0.0,S311,1123500.0,2.0,-0.0694110029968016
1004,2024,0.0,0.0,0.0,S311,0.0,1.0,-0.12503005978381834
1005,2019,0.083125,0.0,0.083125,S311,8518400.0,7.0,-0.14279789108306362
1005,2020,0.747815,0.083125,0.66469,S311,10843200.0,7.0,0.030531459653099276
1005,2021,0.0,0.747815,-0.747815,S311,11062400.0,8.0,0.18934258597528333
1005,2022,0.0,0.0,0.0,S311,3138240.0,4.0,0.03061456525579377
1005,2023,0.997144,0.0,0.997144,S311,2626750.0,3.0,-0.14632752337793598
1005,2024,1.91153,0.997144,0.9143859999999999,S311,0.0,1.0,-0.12357145743278262
1006,2019,0.0,0.0,0.0,S311,6987200.0,7.0,-0.14286578357870827
1006,2020,0.0,0.0,0.0,S311,8795200.0,7.0,0.030096818706583362
1006,2021,0.0,0.0,0.0,S311,8219200.0,7.0,0.0834554236664101
1006,2022,0.0,0.0,0.0,S311,2558640.0,4.0,0.03061456525579377
1006,2023,0.0,0.0,0.0,S311,2388750.0,3.0,-0.14721662221035103
1006,2024,0.0,0.0,0.0,S311,0.0,1.0,-0.12503005978381834
1007,2019,0.0,0.0,0.0,S311,6984000.0,7.0,-0.14286578357870827
1007,2020,0.0,0.0,0.0,S311,8027200.0,6.0,0.0031033420862809622
1007,2021,0.0,0.0,0.0,S311,8104000.0,7.0,0.0834554236664101
1007,2022,0.0,0.0,0.0,S311,2372160.0,4.0,0.03061456525579377
1007,2023,0.0,0.0,0.0,S311,2653000.0,3.0,-0.14721662221035103
1007,2024,0.0,0.0,0.0,S311,0.0,1.0,-0.12503005978381834
1008,2019,0.0,0.0,0.0,S311,1868800.0,5.0,-0.03781683802120929
1008,2020,0.0,0.0,0.0,S311,2104000.0,5.0,0.011379131990565457
1008,2021,0.0,0.0,0.0,S311,2025600.0,6.0,0.06540770533401659
1008,2022,0.0,0.0,0.0,S311,441840.0,3.0,0.05631726259133706
1008,2023,0.165914,0.0,0.165914,S311,668500.0,2.0,-0.06907424313898795
1008,2024,0.249174,0.165914,0.08326,S311,0.0,1.0,-0.12489724581712679
1009,2019,0.0,0.0,0.0,S311,4097600.0,6.0,-0.041409511446204354
1009,2020,0.0,0.0,0.0,S311,4457600.0,6.0,0.0031033420862809622
1009,2021,0.0,0.0,0.0,S311,4080000.0,7.0,0.0834554236664101
1009,2022,0.0,0.0,0.0,S311,1127280.0,4.0,0.03061456525579377
1009,2023,0.0,0.0,0.0,S311,840000.0,2.0,-0.0694110029968016
1009,2024,2.652779,0.0,2.652779,S311,0.0,1.0,-0.12079842272225111
2001,2019,891.613691,1656.549259,-764.9355679999999,S311,51924800.0,7.0,-0.7676283065126571
2001,2020,1375.965898,891.613691,484.3522069999999,S311,76065600.0,7.0,0.3468148401865984
2001,2021,492.972097,1375.965898,-882.9938009999998,S311,75120000.0,8.0,-0.2646681234343641
2001,2022,993.789158,492.972097,500.817061,S311,14253120.0,5.0,1.7824885878289363
2001,2023,573.90425,993.789158,-419.884908,S311,12607000.0,3.0,-0.5216050570317036
2001,2024,1279.116941,573.90425,705.212691,S311,0.0,1.0,0.9999050213228863
2002,2019,0.991428,1.058171,-0.066743,S311,87001600.0,7.0,-0.14292029604591805
2002,2020,22.890096,0.991428,21.898668,S311,133064000.0,7.0,0.04441636283536178
2002,2021,124.748086,22.890096,101.85799,S311,145105600.0,8.0,0.24214433861210174
2002,2022,601.59312,124.748086,476.845034,S311,41774880.0,5.0,1.7006365968400794
2002,2023,15.425391,601.59312,-586.167729,S311,32424000.0,3.0,-0.6698703647523353
2002,2024,0.0,15.425391,-15.425391,S311,0.0,1.0,-0.1496362015863453
2003,2019,465.073259,45.406475,419.666784,S311,14788800.0,7.0,0.19989782911215384
2003,2020,642.96528,465.073259,177.892021,S311,18001600.0,7.0,0.14642045285944952
2003,2021,488.843798,642.96528,-154.12148200000001,S311,19761600.0,8.0,0.1104152930610495
2003,2022,107.53537,488.843798,-381.308428,S311,5174400.0,5.0,-1.2295106718360367
2003,2023,2248.526062,107.53537,2140.990692,S311,5190500.0,3.0,1.7617878189422809
2003,2024,2499.980292,2248.526062,251.45423000000028,S311,0.0,1.0,0.27608252402201433
2004,2019,183.799956,2510.710177,-2326.910221,S311,135046400.0,7.0,-2.043373958553196
2004,2020,1730.798358,183.799956,1546.998402,S311,195064000.0,7.0,1.0416794357218602
2004,2021,2045.208828,1730.798358,314.41047000000003,S311,209686400.0,8.0,0.3515255132084347
2004,2022,7.799774,2045.208828,-2037.409054,S311,63777840.0,5.0,-6.884232048380115
2004,2023,12.597819,7.799774,4.798044999999999,S311,49514500.0,3.0,-0.1429384675933901
2004,2024,25.70031,12.597819,13.102491000000002,S311,0.0,1.0,-0.10412934151273313
3001,2019,0.0,0.0,0.0,S311,12049600.0,7.0,-0.14286578357870827
3001,2020,2.761289,0.0,2.761289,S311,16872000.0,7.0,0.03190242622973547
3001,2021,0.40265,2.761289,-2.358639,S311,16203200.0,8.0,0.18851364330104137
3001,2022,0.0,0.40265,-0.40265,S311,2894640.0,4.0,0.028829569618798546
3001,2023,0.0,0.0,0.0,S311,4971750.0,3.0,-0.14721662221035103
3001,2024,0.0,0.0,0.0,S311,0.0,1.0,-0.12503005978381834
3002,2019,0.0,0.0,0.0,S311,9264000.0,7.0,-0.14286578357870827
3002,2020,0.0,0.0,0.0,S311,11924800.0,7.0,0.030096818706583362
3002,2021,0.0,0.0,0.0,S311,11529600.0,8.0,0.18972741744410815
3002,2022,0.0,0.0,0.0,S311,777840.0,3.0,0.05631726259133706
3002,2023,0.0,0.0,0.0,S311,3725750.0,3.0,-0.14721662221035103
3002,2024,0.0,0.0,0.0,S311,0.0,1.0,-0.12503005978381834
3003,2019,2.379909,0.73916,1.640749,S311,32384000.0,7.0,-0.1415256988348108
3003,2020,2.705376,2.379909,0.32546699999999973,S311,47809600.0,7.0,0.030309641654032087
3003,2021,0.0,2.705376,-2.705376,S311,46496000.0,8.0,0.18833520971919837
3003,2022,2.634014,0.0,2.634014,S311,11838960.0,5.0,0.08145286507402959
3003,2023,41.814491,2.634014,39.180476999999996,S311,13436500.0,3.0,-0.11228153123636442
3003,2024,34.499978,41.814491,-7.314512999999998,S311,0.0,1.0,-0.13669796136857734
4001,2019,490.939152,406.665688,84.27346399999999,S311,11014400.0,7.0,-0.07403527786345655
4001,2020,395.557153,490.939152,-95.38199899999995,S311,12024000.0,7.0,-0.03227349275581236
4001,2021,512.131319,395.557153,116.57416599999993,S311,12140800.0,8.0,0.24971739829339248
4001,2022,323.060278,512.131319,-189.07104099999998,S311,2940000.0,4.0,-0.8075599865066428
4001,2023,344.563106,323.060278,21.502828000000022,S311,2623250.0,3.0,-0.12804372514791895
4001,2024,404.888309,344.563106,60.32520299999999,S311,0.0,1.0,-0.028801024209665
4002,2019,1332.859318,1996.170341,-663.311023,S311,39012800.0,7.0,-0.684626273684953
4002,2020,5543.064927,1332.859318,4210.205609000001,S311,45027200.0,7.0,2.7831512514833134
4002,2021,1522.545304,5543.064927,-4020.519623,S311,46220800.0,8.0,-1.8792635388192378
4002,2022,2017.256406,1522.545304,494.711102,S311,12865440.0,5.0,1.7616399169574102
4002,2023,2414.912327,2017.256406,397.65592100000003,S311,14593250.0,3.0,0.20735143923717642
4002,2024,2546.925759,2414.912327,132.0134320000002,S311,0.0,1.0,0.08555398490135403
4003,2019,20851.286235,18258.588776,2592.697458999999,S311,30656000.0,7.0,1.9747246037064052
4003,2020,26073.706505,20851.286235,5222.420269999999,S311,35067200.0,7.0,3.4450386551366297
4003,2021,14094.336452,26073.706505,-11979.370052999999,S311,36286400.0,8.0,-5.9749504415075965
4003,2022,12159.280765,14094.336452,-1935.055687,S311,8233680.0,5.0,-6.5347485911254095
4003,2023,16674.591276,12159.280765,4515.310511,S311,10979500.0,3.0,3.8788390962430763
4003,2024,28689.76231,16674.591276,12015.171033999999,S311,0.0,1.0,19.041226552072473
4004,2019,22885.17528,13260.66118,9624.5141,S311,12996800.0,7.0,7.717973694510988
4004,2020,19558.45727,22885.17528,-3326.7180100000005,S311,14833600.0,7.0,-2.1452448663765886
4004,2021,9977.617544,19558.45727,-9580.839725999998,S311,14371200.0,8.0,-4.740647908447589
4004,2022,11844.74843,9977.617544,1867.130885999999,S311,1537200.0,4.0,8.307829231117026
4004,2023,24753.07015,11844.74843,12908.32172,S311,4051250.0,3.0,11.362428694504077
4004,2024,24721.3692,24753.07015,-31.700949999998556,S311,0.0,1.0,-0.17559850702608154
4005,2019,448.795181,369.65707,79.13811100000004,S311,6569600.0,6.0,0.1416795066547613
4005,2020,1461.704592,448.795181,1012.9094110000001,S311,6718400.0,6.0,1.167472751397764
4005,2021,381.565368,1461.704592,-1080.139224,S311,6926400.0,7.0,-1.005947322449031
4005,2022,386.159667,381.565368,4.594299000000035,S311,2081520.0,4.0,0.0509816425438891
4005,2023,1172.748457,386.159667,786.5887899999999,S311,2007250.0,3.0,0.5541416317427096
