CVE_MUNICIPIO,ANIO,DEFORESTACION_HA,DEFORESTACION_ANT,Xn,CLAVE_PROGRAMA,PRESUPUESTO,DECIL_PRES,score
1001,2019,0.0,0.0,0.0,S072,37564800.0,7.0,-0.14286578357870827
1001,2020,0.0,0.0,0.0,S072,50096000.0,7.0,0.030096818706583362
1001,2021,0.0,0.0,0.0,S072,51755200.0,8.0,0.18972741744410815
1001,2022,0.0,0.0,0.0,S072,15613920.0,5.0,0.07245907868322825
1001,2023,1.081769,0.0,1.081769,S072,14735000.0,3.0,-0.14625206788836462
1001,2024,17.344076,1.081769,16.262307,S072,0.0,1.0,-0.0990888935548244
1002,2019,0.0,0.0,0.0,S072,3496000.0,6.0,-0.041409511446204354
1002,2020,0.0,0.0,0.0,S072,3264000.0,6.0,0.0031033420862809622
1002,2021,0.0,0.0,0.0,S072,6873600.0,7.0,0.0834554236664101
1002,2022,0.0,0.0,0.0,S072,2231040.0,4.0,0.03061456525579377
1002,2023,0.332051,0.0,0.332051,S072,2240000.0,3.0,-0.1469205504730671
1002,2024,0.0,0.332051,-0.332051,S072,0.0,1.0,-0.1255597380261184
1003,2019,0.0,0.747698,-0.747698,S072,2304000.0,5.0,-0.03945937801955503
1003,2020,0.65269,0.0,0.65269,S072,2075200.0,5.0,0.012367870077224261
1003,2021,0.0,0.65269,-0.65269,S072,2428800.0,6.0,0.06444935593408511
1003,2022,3.244192,0.0,3.244192,S072,3331440.0,4.0,0.044996456639314966
1003,2023,0.0,3.244192,-3.244192,S072,717500.0,2.0,-0.0759958218586225
1003,2024,0.5818,0.0,0.5818,S072,0.0,1.0,-0.12410198909175547
1004,2019,0.0,0.0,0.0,S072,1792000.0,5.0,-0.03781683802120929
1004,2020,0.0,0.0,0.0,S072,1651200.0,5.0,0.011379131990565457
1004,2021,0.0,0.0,0.0,S072,1536000.0,5.0,0.05008373783641106
1004,2022,0.0,0.0,0.0,S072,497280.0,3.0,0.05631726259133706
1004,2023,0.0,0.0,0.0,S072,460250.0,2.0,-0.0694110029968016
1004,2024,0.0,0.0,0.0,S072,0.0,1.0,-0.12503005978381834
1005,2019,0.083125,0.0,0.083125,S072,7488000.0,7.0,-0.14279789108306362
1005,2020,0.747815,0.083125,0.66469,S072,9390400.0,7.0,0.030531459653099276
1005,2021,0.0,0.747815,-0.747815,S072,9518400.0,7.0,0.08270119523318147
1005,2022,0.0,0.0,0.0,S072,3029040.0,4.0,0.03061456525579377
1005,2023,0.997144,0.0,0.997144,S072,3039750.0,3.0,-0.14632752337793598
1005,2024,1.91153,0.997144,0.9143859999999999,S072,0.0,1.0,-0.12357145743278262
1006,2019,0.0,0.0,0.0,S072,2384000.0,6.0,-0.041409511446204354
1006,2020,0.0,0.0,0.0,S072,2150400.0,5.0,0.011379131990565457
1006,2021,0.0,0.0,0.0,S072,2622400.0,6.0,0.06540770533401659
1006,2022,0.0,0.0,0.0,S072,777840.0,3.0,0.05631726259133706
1006,2023,0.0,0.0,0.0,S072,717500.0,2.0,-0.0694110029968016
1006,2024,0.0,0.0,0.0,S072,0.0,1.0,-0.12503005978381834
1007,2019,0.0,0.0,0.0,S072,2977600.0,6.0,-0.041409511446204354
1007,2020,0.0,0.0,0.0,S072,3532800.0,6.0,0.0031033420862809622
1007,2021,0.0,0.0,0.0,S072,4656000.0,7.0,0.0834554236664101
1007,2022,0.0,0.0,0.0,S072,1438080.0,4.0,0.03061456525579377
1007,2023,0.0,0.0,0.0,S072,1314250.0,2.0,-0.0694110029968016
1007,2024,0.0,0.0,0.0,S072,0.0,1.0,-0.12503005978381834
1008,2019,0.0,0.0,0.0,S072,990400.0,5.0,-0.03781683802120929
1008,2020,0.0,0.0,0.0,S072,876800.0,4.0,0.036974397420593254
1008,2021,0.0,0.0,0.0,S072,1161600.0,5.0,0.05008373783641106
1008,2022,0.0,0.0,0.0,S072,369600.0,3.0,0.05631726259133706
1008,2023,0.165914,0.0,0.165914,S072,346500.0,2.0,-0.06907424313898795
1008,2024,0.249174,0.165914,0.08326,S072,0.0,1.0,-0.12489724581712679
1009,2019,0.0,0.0,0.0,S072,2108800.0,5.0,-0.03781683802120929
1009,2020,0.0,0.0,0.0,S072,2046400.0,5.0,0.011379131990565457
1009,2021,0.0,0.0,0.0,S072,4296000.0,7.0,0.0834554236664101
1009,2022,0.0,0.0,0.0,S072,1389360.0,4.0,0.03061456525579377
1009,2023,0.0,0.0,0.0,S072,1347500.0,2.0,-0.0694110029968016
1009,2024,2.652779,0.0,2.652779,S072,0.0,1.0,-0.12079842272225111
2001,2019,891.613691,1656.549259,-764.9355679999999,S072,48051200.0,7.0,-0.7676283065126571
2001,2020,1375.965898,891.613691,484.3522069999999,S072,59702400.0,7.0,0.3468148401865984
2001,2021,492.972097,1375.965898,-882.9938009999998,S072,65312000.0,8.0,-0.2646681234343641
2001,2022,993.789158,492.972097,500.817061,S072,8174880.0,5.0,1.7824885878289363
2001,2023,573.90425,993.789158,-419.884908,S072,9532250.0,3.0,-0.5216050570317036
2001,2024,1279.116941,573.90425,705.212691,S072,0.0,1.0,0.9999050213228863
2002,2019,0.991428,1.058171,-0.066743,S072,44843200.0,7.0,-0.14292029604591805
2002,2020,22.890096,0.991428,21.898668,S072,53364800.0,7.0,0.04441636283536178
2002,2021,124.748086,22.890096,101.85799,S072,50019200.0,8.0,0.24214433861210174
2002,2022,601.59312,124.748086,476.845034,S072,13164480.0,5.0,1.7006365968400794
2002,2023,15.425391,601.59312,-586.167729,S072,12892250.0,3.0,-0.6698703647523353
2002,2024,0.0,15.425391,-15.425391,S072,0.0,1.0,-0.1496362015863453
2003,2019,465.073259,45.406475,419.666784,S072,5347200.0,6.0,0.9295054932365586
2003,2020,642.96528,465.073259,177.892021,S072,7264000.0,6.0,0.20759549623509455
2003,2021,488.843798,642.96528,-154.12148200000001,S072,6806400.0,7.0,-0.07198783956812783
2003,2022,107.53537,488.843798,-381.308428,S072,1960560.0,4.0,-1.6597713290184084
2003,2023,2248.526062,107.53537,2140.990692,S072,2206750.0,3.0,1.7617878189422809
2003,2024,2499.980292,2248.526062,251.45423000000028,S072,0.0,1.0,0.27608252402201433
2004,2019,183.799956,2510.710177,-2326.910221,S072,65483200.0,7.0,-2.043373958553196
2004,2020,1730.798358,183.799956,1546.998402,S072,98156800.0,7.0,1.0416794357218602
2004,2021,2045.208828,1730.798358,314.41047000000003,S072,91864000.0,8.0,0.3515255132084347
2004,2022,7.799774,2045.208828,-2037.409054,S072,27111840.0,5.0,-6.884232048380115
2004,2023,12.597819,7.799774,4.798044999999999,S072,25371500.0,3.0,-0.1429384675933901
2004,2024,25.70031,12.597819,13.102491000000002,S072,0.0,1.0,-0.10412934151273313
3001,2019,0.0,0.0,0.0,S072,6540800.0,6.0,-0.041409511446204354
3001,2020,2.761289,0.0,2.761289,S072,6120000.0,6.0,0.006277525687452277
3001,2021,0.40265,2.761289,-2.358639,S072,6369600.0,7.0,0.08107655643651773
3001,2022,0.0,0.40265,-0.40265,S072,1538880.0,4.0,0.028829569618798546
3001,2023,0.0,0.0,0.0,S072,1324750.0,2.0,-0.0694110029968016
3001,2024,0.0,0.0,0.0,S072,0.0,1.0,-0.12503005978381834
3002,2019,0.0,0.0,0.0,S072,4488000.0,6.0,-0.041409511446204354
3002,2020,0.0,0.0,0.0,S072,4696000.0,6.0,0.0031033420862809622
3002,2021,0.0,0.0,0.0,S072,9915200.0,7.0,0.0834554236664101
3002,2022,0.0,0.0,0.0,S072,2446080.0,4.0,0.03061456525579377
3002,2023,0.0,0.0,0.0,S072,2775500.0,3.0,-0.14721662221035103
3002,2024,0.0,0.0,0.0,S072,0.0,1.0,-0.12503005978381834
3003,2019,2.379909,0.73916,1.640749,S072,18828800.0,7.0,-0.1415256988348108
3003,2020,2.705376,2.379909,0.32546699999999973,S072,27123200.0,7.0,0.030309641654032087
3003,2021,0.0,2.705376,-2.705376,S072,27624000.0,8.0,0.18833520971919837
3003,2022,2.634014,0.0,2.634014,S072,6562080.0,5.0,0.08145286507402959
3003,2023,41.814491,2.634014,39.180476999999996,S072,7059500.0,3.0,-0.11228153123636442
3003,2024,34.499978,41.814491,-7.314512999999998,S072,0.0,1.0,-0.13669796136857734
4001,2019,490.939152,406.665688,84.27346399999999,S072,14220800.0,7.0,-0.07403527786345655
4001,2020,395.557153,490.939152,-95.38199899999995,S072,18120000.0,7.0,-0.03227349275581236
4001,2021,512.131319,395.557153,116.57416599999993,S072,22374400.0,8.0,0.24971739829339248
4001,2022,323.060278,512.131319,-189.07104099999998,S072,5439840.0,5.0,-0.5731200850723331
4001,2023,344.563106,323.060278,21.502828000000022,S072,8095500.0,3.0,-0.12804372514791895
4001,2024,404.888309,344.563106,60.32520299999999,S072,0.0,1.0,-0.028801024209665
4002,2019,1332.859318,1996.170341,-663.311023,S072,18808000.0,7.0,-0.684626273684953
4002,2020,5543.064927,1332.859318,4210.205609000001,S072,21403200.0,7.0,2.7831512514833134
4002,2021,1522.545304,5543.064927,-4020.519623,S072,22331200.0,8.0,-1.8792635388192378
4002,2022,2017.256406,1522.545304,494.711102,S072,4981200.0,5.0,1.7616399169574102
4002,2023,2414.912327,2017.256406,397.65592100000003,S072,7393750.0,3.0,0.20735143923717642
4002,2024,2546.925759,2414.912327,132.0134320000002,S072,0.0,1.0,0.08555398490135403
4003,2019,20851.286235,18258.588776,2592.697458999999,S072,17625600.0,7.0,1.9747246037064052
4003,2020,26073.706505,20851.286235,5222.420269999999,S072,17009600.0,7.0,3.4450386551366297
4003,2021,14094.336452,26073.706505,-11979.370052999999,S072,16784000.0,8.0,-5.9749504415075965
4003,2022,12159.280765,14094.336452,-1935.055687,S072,3247440.0,4.0,-8.54771887231479
4003,2023,16674.591276,12159.280765,4515.310511,S072,4989250.0,3.0,3.8788390962430763
4003,2024,28689.76231,16674.591276,12015.171033999999,S072,0.0,1.0,19.041226552072473
4004,2019,22885.17528,13260.66118,9624.5141,S072,11744000.0,7.0,7.717973694510988
4004,2020,19558.45727,22885.17528,-3326.7180100000005,S072,12614400.0,7.0,-2.1452448663765886
4004,2021,9977.617544,19558.45727,-9580.839725999998,S072,18086400.0,8.0,-4.740647908447589
4004,2022,11844.74843,9977.617544,1867.130885999999,S072,2731680.0,4.0,8.307829231117026
4004,2023,24753.07015,11844.74843,12908.32172,S072,6294750.0,3.0,11.362428694504077
4004,2024,24721.3692,24753.07015,-31.700949999998556,S072,0.0,1.0,-0.17559850702608154
4005,2019,448.795181,369.65707,79.13811100000004,S072,7748800.0,7.0,-0.07822958681005844
4005,2020,1461.704592,448.795181,1012.9094110000001,S072,9913600.0,7.0,0.69243851954745
4005,2021,381.565368,1461.704592,-1080.139224,S072,12249600.0,8.0,-0.3661207055638736
4005,2022,386.159667,381.565368,4.594299000000035,S072,4826640.0,5.0,0.08814621771190179
4005,2023,1172.748457,386.159667,786.5887899999999,S072,6468000.0,3.0,0.5541416317427096
4005,2024,383.636738,1172.748457,-789.111719,S072,0.0,1.0,-1.3837984667402328
4006,2019,10145.45897,8836.108101,1309.3508689999999,S072,12504000.0,7.0,0.9265489312593373
4006,2020,27054.67726,10145.45897,16909.21829,S072,17025600.0,7.0,11.087038614746515
4006,2021,7684.876716,27054.67726,-19369.800544,S072,19022400.0,8.0,-9.778123981887525
4006,2022,6939.466229,7684.876716,-745.4104870000001,S072,3899280.0,4.0,-3.2738793303495344
4006,2023,21753.27453,6939.466229,14813.808301,S072,8123500.0,3.0,13.06144698509165
4006,2024,20033.4504,21753.27453,-1719.8241299999972,S072,0.0,1.0,-2.8684442408692448
4007,2019,1002.698307,324.301431,678.396876,S072,2659200.0,6.0,1.5280873635752692
4007,2020,617.679176,1002.698307,-385.019131,S072,3697600.0,6.0,-0.4394875680855375
4007,2021,197.363181,617.679176,-420.315995,S072,3758400.0,6.0,-0.5517452793751895
4007,2022,189.914368,197.363181,-7.448813000000001,S072,772800.0,3.0,0.01672367356159882
4007,2023,647.755564,189.914368,457.8411960000001,S072,1051750.0,2.0,0.8598808956144537
4007,2024,4054.936673,647.755564,3407.181109,S072,0.0,1.0,5.310007633260403
4008,2019,566.675908,637.01468,-70.33877199999995,S072,2892800.0,6.0,-0.20414092539046289
4008,2020,4134.749802,566.675908,3568.073894,S072,5123200.0,6.0,4.104710106934973
4008,2021,934.950791,4134.749802,-3199.799011,S072,5822400.0,7.0,-3.143785798712227
4008,2022,564.468567,934.950791,-370.482224,S072,2125200.0,4.0,-1.6117774710643038
4008,2023,1169.903032,564.468567,605.4344649999999,S072,2215500.0,3.0,0.39261621631180155
4008,2024,630.503387,1169.903032,-539.399645,S072,0.0,1.0,-0.9854649202747261
5001,2019,0.0,0.239522,-0.239522,S072,9600.0,2.0,-0.06860812505880484
5001,2020,0.0,0.0,0.0,S072,9600.0,2.0,0.03845875298371951
5001,2021,0.0,0.0,0.0,S072,9600.0,2.0,0.08334875718016098
5001,2022,0.0,0.0,0.0,S072,1680.0,1.0,0.07574183673274548
5001,2023,2.553592,0.0,2.553592,S072,10500.0,1.0,-0.09280356308355821
5001,2024,0.0,2.553592,-2.553592,S072,0.0,1.0,-0.12910347658458524
5002,2019,1.096386,21.903016,-20.806630000000002,S072,5852800.0,6.0,-0.08954643825116806
5002,2020,6.67137,1.096386,5.574984,S072,4872000.0,6.0,0.009511951539906595
5002,2021,2.268239,6.67137,-4.403131,S072,5025600.0,7.0,0.07901453040346344
5002,2022,34.535556,2.268239,32.267317,S072,1283520.0,4.0,0.17365944309645395
5002,2023,8.82359,34.535556,-25.711966,S072,4163250.0,3.0,-0.17014257768889332
5002,2024,9.694232,8.82359,0.8706420000000001,S072,0.0,1.0,-0.12364123660836458
5003,2019,1.973219,3.868293,-1.895074,S072,737600.0,4.0,-0.04203023293853049
5003,2020,22.020085,1.973219,20.046866,S072,545600.0,4.0,0.07027122480192795
5003,2021,7.103071,22.020085,-14.917014000000002,S072,508800.0,4.0,0.07819447880700839
5003,2022,0.0,7.103071,-7.103071,S072,139440.0,2.0,0.02511618536081883
5003,2023,0.394651,0.0,0.394651,S072,693000.0,2.0,-0.06860996984320387
5003,2024,2.604745,0.394651,2.210094,S072,0.0,1.0,-0.12150458115180739
5004,2019,26.502849,466.720932,-440.218083,S072,1856000.0,5.0,-1.0048861752704519
5004,2020,15.707394,26.502849,-10.795455,S072,1857600.0,5.0,-0.004974539003798195
5004,2021,4605.32971,15.707394,4589.622316,S072,2328000.0,6.0,6.80438301129966
5004,2022,619.030027,4605.32971,-3986.299683,S072,68880.0,2.0,-24.273577774533813
5004,2023,141.605627,619.030027,-477.4244,S072,2257500.0,3.0,-0.5729098787575078
5004,2024,23.061143,141.605627,-118.544484,S072,0.0,1.0,-0.3141288244900996
5005,2019,0.0,0.39989,-0.39989,S072,105600.0,3.0,-0.007124929251532516
5005,2020,3.195722,0.0,3.195722,S072,89600.0,3.0,-3.5628728765360604e-05
5005,2021,1.43815,3.195722,-1.757572,S072,76800.0,3.0,0.0920804131907806
5005,2022,22.997846,1.43815,21.559696,S072,13440.0,2.0,0.20014342610495303
5005,2023,65.72622,22.997846,42.728374,S072,152250.0,1.0,-0.021350074646594983
5005,2024,2.239363,65.72622,-63.486857,S072,0.0,1.0,-0.22630247524082375
5006,2019,1.524573,0.321113,1.20346,S072,896000.0,4.0,-0.03474344650580722
5006,2020,0.399937,1.524573,-1.124636,S072,779200.0,4.0,0.035106434081144854
5006,2021,0.31997,0.399937,-0.07996700000000001,S072,1084800.0,5.0,0.04998465062206362
5006,2022,6.523934,0.31997,6.203964,S072,166320.0,3.0,0.08929395310179704
5006,2023,5.456418,6.523934,-1.0675159999999995,S072,771750.0,2.0,-0.07157776732274025
5006,2024,0.480121,5.456418,-4.976297000000001,S072,0.0,1.0,-0.1329681061927223
5007,2019,0.0,7.283385,-7.283385,S072,1832000.0,5.0,-0.05381694927715938
5007,2020,0.0,0.0,0.0,S072,1888000.0,5.0,0.011379131990565457
5007,2021,0.0,0.0,0.0,S072,2016000.0,6.0,0.06540770533401659
5007,2022,539.303847,0.0,539.303847,S072,305760.0,3.0,2.9229451240069517
5007,2023,539.406942,539.303847,0.10309499999993932,S072,1732500.0,3.0,-0.14712469803076636
5007,2024,5.672469,539.406942,-533.734473,S072,0.0,1.0,-0.9764280002013416
5008,2019,0.0,0.0,0.0,S072,160000.0,3.0,-0.0055147963171873465
5008,2020,0.398229,0.0,0.398229,S072,128000.0,3.0,-0.00457989721516559
5008,2021,0.637555,0.398229,0.23932599999999998,S072,110400.0,3.0,0.09578197194635418
5008,2022,0.0,0.637555,-0.637555,S072,0.0,1.0,0.07243364055359514
5008,2023,0.637403,0.0,0.637403,S072,105000.0,1.0,-0.09621163107393427
5008,2024,0.0,0.637403,-0.637403,S072,0.0,1.0,-0.12604682678851575
